1	0	5416	2074
2	29375	919	477
3	34659	158	113
4	35666	839	543
5	40805	578	433
6	44367	318	206
7	46312	545	178
8	49203	1369	482
9	56657	3408	1720
10	74695	1627	890
11	83478	165	76
12	84445	6011	2582
13	116860	742	380
14	121144	53	47
15	121531	42	38
16	121844	138	111
17	122760	395	355
18	125088	1404	967
19	133126	637	421
20	136989	305	266
21	138903	366	242
22	141022	311	213
23	142865	45	41
24	143162	3820	1925
25	164283	425	281
26	166967	1517	718
27	175620	191	107
28	176824	1978	748
29	188089	1821	963
30	198572	11	10
31	198658	1955	864
32	209638	151	99
33	210640	100	86
34	211336	361	263
35	213654	4563	1481
36	237724	1751	702
37	247345	72	58
38	247836	92	72
39	248475	41	33
40	248754	581	411
41	252268	2873	1877
42	268891	830	289
43	273447	1386	813
44	281457	404	255
45	283844	37	34
46	284113	1166	701
47	291077	523	340
48	294298	770	540
49	298942	310	239
50	300907	3	3
51	300933	3	3
52	300959	753	291
53	305149	1618	953
54	314185	5887	1898
55	345985	4565	1836
56	371075	666	524
57	375118	2741	1606
58	390605	468	235
59	393353	467	381
60	396284	199	140
61	397556	372	267
62	399906	179	149
63	401078	28	23
64	401282	10973	2892
65	458526	120	89
66	459338	49	44
67	459695	184	133
68	460889	4038	2013
69	483465	236	190
70	484949	79	67
71	485493	2	2
72	485511	681	427
73	489654	3018	3018
74	507794	169	67
75	508766	168	64
76	509729	160	62
77	510648	44	23
78	510924	95	67
79	511530	1291	546
80	518797	3758	1677
81	539579	458	362
82	542447	149	98
83	543356	180	99
84	544452	70	54
85	544907	43	30
86	545199	43	18
87	545460	2819	1547
88	561343	498	350
89	564406	590	389
90	567985	2612	854
91	581803	124	99
92	582631	16	16
93	582753	252	171
94	584388	1432	941
95	592551	2884	2621
96	607311	8184	4056
97	650828	54	36
98	651189	41	33
99	651476	422	267
100	654032	38	33
101	654307	174	137
102	655452	240	187
103	657024	129	105
104	657912	108	89
105	658642	31	17
106	658840	31	26
107	659058	158	132
108	660060	23	19
109	660232	225	171
110	661706	5	5
111	661753	137	106
112	662685	2698	565
113	676742	1808	1104
114	686881	19	16
115	687022	1372	756
116	695152	70	43
117	695588	130	108
118	696445	206	162
119	697766	193	147
120	699017	173	156
121	700165	1259	982
122	707769	37	28
123	708028	1261	529
124	715092	170	88
125	716111	36	27
126	716371	347	173
127	718409	107	66
128	719070	2	1
129	719086	3	3
130	719113	650	386
131	722991	3171	1705
132	740595	446	322
133	743376	617	128
134	746690	946	563
135	752409	75	63
136	752943	34	28
137	753184	1105	677
138	759507	91	57
139	760083	36	32
140	760348	160	74
141	761275	45	35
142	761593	202	145
